,Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Number of vacation days,Employment status,Main language at work,Company size,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
590,25/11/2020 13:55:16,29.0,Male,Stuttgart ,Software Engineer,7,5,Middle,C++,70000.0,0,30,Full-time employee,English,51-100,No,0.0,0
591,25/11/2020 13:56:50,32.0,Female,Berlin,QA Engineer,10,"1,5",Middle,Java,68000.0,0,30,Full-time employee,English,1000+,No,0.0,0
592,25/11/2020 13:57:19,34.0,Male,Berlin,QA Engineer,10,3,Senior,JS,70000.0,0,30,Full-time employee,English,1000+,No,40.0,0
594,25/11/2020 13:59:02,40.0,Male,Berlin,Engineering manager,15,6,Head,Python,80000.0,0,28,Full-time employee,English,1000+,No,0.0,0
595,25/11/2020 13:59:16,35.0,Male,Berlin,Software Engineer,15,4,Principal,C++,77000.0,20000,30,Full-time employee,English,1000+,No,0.0,0
596,25/11/2020 14:00:05,31.0,Male,Berlin,Software Engineer,8,1,Senior,"Java, Kotlin",77000.0,0,27,Full-time employee,English,1000+,No,0.0,0
597,25/11/2020 14:00:28,38.0,Male,Berlin,Data Scientist,15,3,Senior,Python,56000.0,59000,21,Full-time employee,English,11-50,No,0.0,0
598,25/11/2020 14:02:47,39.0,Male,Hamburg,Data Scientist,10,10,Senior,R,80000.0,0,30,Full-time employee,English,1000+,No,0.0,0
599,25/11/2020 14:08:16,35.0,Male,Berlin,Backend Developer,13,5,Senior,Nodejs,90000.0,0,31,Full-time employee,English,up to 10,No,0.0,0
600,25/11/2020 14:08:18,30.0,Female,Berlin,QA Engineer,5,2,Middle,TS,54000.0,0,28,Full-time employee,English,11-50,No,0.0,0
601,25/11/2020 14:08:39,29.0,Female,Berlin,Data Scientist,0,0,intern,Python,20000.0,20000,25,Full-time employee,English,1000+,No,0.0,0
602,25/11/2020 14:08:48,36.0,Male,Berlin,Engineering Manager,18,10,Head,C++,98000.0,25000,30,Full-time employee,English,1000+,No,32.0,0
603,25/11/2020 14:09:53,41.0,Male,Berlin,Backend Developer,20,5,Senior,Python,93000.0,1000,29,Full-time employee,English,1000+,No,40.0,1000
604,25/11/2020 14:14:02,41.0,Male,Berlin,Software Engineer,18,7,Lead,PHP,100000.0,100000,28,Full-time employee,English,51-100,No,0.0,0
605,25/11/2020 14:21:26,28.0,Female,Berlin,Data Scientist,6,1,Senior,sql,70000.0,0,27,Full-time employee,English,1000+,No,0.0,700
606,25/11/2020 14:21:32,33.0,Male,Berlin,Software Engineer,10,3,Lead,javascript,75000.0,0,26,Full-time employee,English,101-1000,No,36.0,0
607,25/11/2020 14:26:49,31.0,Male,Munich,Software Engineer,3,3,Middle,JavaScript ,63000.0,63909,30,Full-time employee,German,51-100,No,0.0,0
608,25/11/2020 14:27:14,29.0,Male,Berlin,Backend Developer,5,1,Senior,Java,70000.0,0,27,Full-time employee,English,1000+,No,0.0,700
609,25/11/2020 14:32:04,23.0,Male,Berlin,Backend Developer,3,1,Middle,Java,80000.0,100000,28,Full-time employee,English,1000+,No,0.0,400
610,25/11/2020 14:34:19,25.0,Male,Berlin,ML Engineer,4.5,2,Middle,"Spark, Pytorch",75000.0,15000,30,Full-time employee,English,11-50,No,0.0,0
611,25/11/2020 14:35:03,34.0,Male,Berlin,QA Engineer,10,5,Lead,Java,85000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
612,25/11/2020 14:37:06,45.0,Male,Berlin,Backend Developer,30,1,Senior,PHP,55000.0,0,24,Full-time employee,English,11-50,No,26.0,0
613,25/11/2020 14:37:07,37.0,Male,Berlin,Embedded Software Engineer,15,1,Senior,C/C++,78000.0,0,28,Full-time employee,English,1000+,No,0.0,0
614,25/11/2020 14:37:25,31.0,Male,Berlin,Software Engineer,9,5,Lead,javascript,99000.0,99000,30,Full-time employee,English,101-1000,No,0.0,0
615,25/11/2020 14:48:38,32.0,Male,Amsterdam,Backend Developer,15,0,Senior,Golang,90000.0,0,25,Full-time employee,English,11-50,No,0.0,0
616,25/11/2020 14:53:46,45.0,Female,Berlin,Product Manager,15,7,Lead,Java,52000.0,0,28,Full-time employee,English,11-50,No,2.0,No
619,25/11/2020 14:56:36,36.0,Male,Berlin,Backend Developer,14,12,Middle,JS,75000.0,0,30,Full-time employee,English,101-1000,No,0.0,0
620,25/11/2020 14:57:52,40.0,Male,Karlsruhe,Team Manager,20,6,Lead,C#,85000.0,15000,30,Full-time employee,English,1000+,No,0.0,300
621,25/11/2020 14:58:22,28.0,Male,Berlin,Backend Developer,7,3,Senior,Java,95000.0,40000,28,Full-time employee,English,101-1000,No,0.0,0
622,25/11/2020 14:58:40,35.0,Male,Frankfurt,Backend Developer,15,15,Senior,C,63000.0,7000,30,Full-time employee,German,51-100,No,0.0,0
623,25/11/2020 15:03:27,37.0,Male,Berlin,Backend Developer,12,3,Senior,Java,102000.0,0,30,Full-time employee,English,101-1000,No,0.0,400
624,25/11/2020 15:03:59,33.0,Male,Berlin,Software Engineer,10,6,Lead,C/C++,95000.0,15000,30,Full-time employee,English,1000+,No,32.0,0
625,25/11/2020 15:05:30,33.0,Male,Berlin,Backend Developer,13,5,Senior,Java,78600.0,0,30,Full-time employee,English,101-1000,No,32.0,0
626,25/11/2020 15:11:46,31.0,Male,Munich,Software Engineer,10,4,Lead,Java ,70000.0,77000,28,Full-time employee,English,101-1000,No,0.0,1500
627,25/11/2020 15:16:59,31.0,Male,Berlin,Software Engineer,4,2,Middle,Java,67000.0,70500,30,Full-time employee,English,1000+,No,0.0,0
628,25/11/2020 15:27:18,28.0,Male,Wolfsburg,Software Engineer,3,1,Middle,Java,42000.0,0,30,Full-time employee,English,101-1000,No,0.0,1000
629,25/11/2020 15:51:41,31.0,Male,Boeblingen,QA Engineer,6,3,Senior,Python,53000.0,0,30,Full-time employee,English,1000+,No,0.0,0
630,25/11/2020 15:53:21,40.0,Male,Cupertino,Software Engineer,20,0,Lead,Swift,250000.0,450000,45,Full-time employee,English,1000+,No,0.0,0
631,25/11/2020 16:06:56,25.0,Female,Frankfurt,Software Engineer,3,2,Middle,Java,53000.0,5000,30,Full-time employee,German,1000+,No,0.0,550
632,25/11/2020 16:08:01,35.0,Male,Berlin,Data Analyst,9,9,Senior,Python,77000.0,0,28,Full-time employee,German,101-1000,No,0.0,0
633,25/11/2020 16:08:21,35.0,Male,Berlin,Software Engineer,15,10,Senior,.net,80000.0,80000,30,Full-time employee,English,11-50,No,24.0,0
634,25/11/2020 16:10:29,41.0,Male,Berlin,DevOps,20,14,Senior,"Linux/UNIX, GIT, Virtualisation Platforms, *shell(s) scripts",58800.0,20700,35,Full-time employee,German,1000+,No,0.0,0
635,25/11/2020 16:16:23,33.0,Male,Berlin,DevOps,8,3,Senior,AWS,75000.0,1000,30,Full-time employee,English,1000+,No,0.0,500
636,25/11/2020 16:17:02,33.0,Male,Berlin,Data Engineer,13,3,Senior,Python,85000.0,5000,26,Full-time employee,English,101-1000,No,20.0,500
637,25/11/2020 16:26:38,38.0,Male,Munich,Software Engineer,15,2,Senior,Java,70000.0,75000,26,Full-time employee,English,11-50,No,0.0,0
638,25/11/2020 16:39:24,35.0,Male,Berlin,Software Engineer,10,6,Senior,php,78000.0,78000,27,Full-time employee,German,up to 10,No,0.0,0
