,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
248,39.0,Male,Munich,DBA,17,5,Senior,Oracle,SQL,64000.0,70000,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,500
249,30.0,Male,Berlin,Backend Developer,7,2,Senior,Ruby,"Javascript / Typescript, SQL, Go, AWS, Docker",72000.0,0,66000.0,0,25,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
250,34.0,Male,Berlin,DevOps,12,2,Senior,Java,"Go, AWS, Kubernetes, Docker",70000.0,0,No Response,No Response,25,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,1000
251,35.0,Male,Berlin,Support Engineer,10,4,Senior,PHP,"SQL, AWS, Docker",63500.0,63500,60000.0,60000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
252,35.0,Female,Berlin,Frontend Developer,12,5,Middle,Javascript ,"AWS, Docker",70000.0,No,70000.0,No,29,Full-time,Unlimited contract,English,101-1000,E-Commerce,No,0.0,No
253,34.0,Male,Berlin,Frontend Developer,10,3,Senior,"Angular, React","Python, Javascript / Typescript, Docker",68000.0,0,68000.0,0,40,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,30.0,0
254,34.0,Male,Berlin,Software Engineer,12,2,Lead,.net,"Javascript / Typescript, .NET, SQL, Azure",78000.0,8000,64000.0,70000,36,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
255,38.0,Male,Berlin,Software Engineer,13,6,Lead,Java,Kotlin,89570.0,20240,82240.0,18000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
256,34.0,Female,Berlin,Software Engineer,9,3,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000.0,3000,65000.0,7000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
257,31.0,Male,Berlin,Mobile Developer,7,3.5,Senior,iOS,Swift,80000.0,0,72500.0,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,20.0,0
258,34.0,Male,Berlin,Backend Developer,15,5,Senior,Elixir,"Javascript / Typescript, Ruby, SQL, Google Cloud, Kubernetes, Docker",70000.0,70000,65000.0,65000,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
259,29.0,Female,Munich,Software Engineer,5,4,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000.0,5000,65000.0,4000,31,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
260,37.0,Male,Berlin,Software Engineer,15,3,Senior,Scala,"Python, Java / Scala, Docker",85000.0,5000,100000.0,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
261,44.0,Male,Stuttgart,Software Engineer,22,3,Senior,Erlang,"Python, SQL, Docker",76000.0,0,76000.0,No Response,30,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
262,30.0,Male,Munich,Frontend Developer,9,3,Middle,TypeScript,"Javascript / Typescript, Kubernetes",66000.0,0,64000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
263,26.0,Male,Frankfurt,Consultant,4,4,Middle,JavaScript,"Python, Javascript / Typescript",65000.0,70000,55000.0,55000,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
264,33.0,Diverse,Hamburg,Software Engineer,1,6,Middle,Scala,"Python, SQL, Kubernetes, Docker",130000.0,0,No Response,No Response,0,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
265,46.0,Male,Berlin,Software Engineer,14,14,Senior,JavaScript,"PHP, Javascript / Typescript, SQL, Google Cloud, Docker",80000.0,0,63000.0,No Response,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,Yes,20.0,0
266,33.0,Male,Berlin,Software Engineer,14,4,Senior,PHP,"PHP, Java / Scala",68000.0,0,68000.0,0,0,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,500
267,27.0,Male,Tuttlingen,Software Engineer,4,4,Junior,C#,.NET,46000.0,2000,43000.0,2000,30,Full-time,Unlimited contract,German,up to 10,Utilities and Manufacturing,No,40.0,0
268,38.0,Male,Stuttgart,Software Engineer,15,8,Senior,C#,.NET,56400.0,0,56400.0,No Response,30,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
269,32.0,Male,Munich,Backend Developer,11,3.5,Senior,PHP,"PHP, Javascript / Typescript, Java / Scala, Docker",81200.0,81200,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,28.0,0
270,26.0,Male,Frankfurt,Backend Developer,7,1.5,Senior,Java,No Response,65000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
271,29.0,Male,Berlin,Software Engineer,12,3,Senior,Go,"PHP, Go",75000.0,75000,70000.0,70000,27,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,1000
272,32.0,Male,Nurenberg,Testautomation,8,2,Senior,"Java, JS","Javascript / Typescript, Java / Scala",60000.0,0,No Response,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,Yes,0.0,500
273,29.0,Male,Bonn,Mobile Developer,5,2,Middle,Objective-C,Swift,55000.0,4000,55000.0,1800,24,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
274,33.0,Male,Hamburg,Software Engineer,10,3,Senior,Ruby,Elixir,75000.0,0,70000.0,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
275,32.0,Male,Munich,QA Engineer,9,3,Senior,QA,Java / Scala,76000.0,0,No Response,0,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
276,34.0,Male,Berlin,Software Engineer,10,10,Senior,C++,Python,76000.0,12000,73000.0,8000,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
277,31.0,Male,Moscow,Data Scientist,2.5,0,Lead,Python,Python,20000.0,6500,17000.0,3500,30,Full-time,Unlimited contract,Russian,1000+,Finance,No,0.0,0
278,29.0,Male,Munich,Software Engineer,7,1,Senior,TypeScript,"Javascript / Typescript, AWS",80000.0,0,No Response,No Response,0,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
279,33.0,Male,Munich,Software Engineer,10,4,Senior,C#,Javascript / Typescript,78000.0,0,65000.0,No Response,30,Full-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,0.0,0
280,32.0,Male,Berlin,Backend Developer,4,1,Senior,Ruby,"Python, SQL, Go, AWS, Kubernetes, Docker",65000.0,0,No Response,57000,28,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
281,47.0,Male,Hamburg,Software Engineer,22,10,Senior,C++/C#,"C/C++, .NET, SQL",46000.0,46000,46000.0,46000,30,Full-time,Unlimited contract,English,up to 10,Utilities and Manufacturing,No,0.0,1500
282,29.0,Male,Berlin,Backend Developer,8,1.5,Middle,Go,Python,65000.0,0,60000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
283,28.0,Male,Munich,Software Engineer,5,6,Senior,C++,"Python, C/C++",67000.0,2000,44000.0,2500,20,Self-employed,Unlimited contract,English,up to 10,Entrepreneurship,Yes,0.0,0
284,25.0,Male,Hamburg,Data Scientist,2,2,Middle,Python,.NET,48000.0,5000,43200.0,48000,28,Full-time,Unlimited contract,German,11-50,Utilities and Manufacturing,No,0.0,0
285,32.0,Male,Munich,SAP Developer,9,1,Senior,ABAP,SAP / ABAP,70800.0,5000,No Response,No Response,30,Full-time,Unlimited contract,German,1000+,Business Services,No,35.0,0
286,45.0,Male,Munich,Frontend Developer,3,0,Senior,Javascript / Typescript,No Response,70000.0,0,65000.0,No Response,25,Full-time,Unlimited contract,Russian,11-50,Entrepreneurship,Yes,0.0,0
287,26.0,Male,Frankfurt,Software Engineer,3,1,Middle,Python ,"Python, Java / Scala",48000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,51-100,Business Services,No,0.0,0
288,29.0,Male,Munich,Mobile Developer,8,0.25,Senior,Java/Kotlin,"Kotlin, C/C++, Java / Scala",65400.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,11-50,Business Services,No,0.0,0
289,40.0,Male,Berlin,Backend Developer,18,2.5,Senior,php,"PHP, SQL, Go, Docker, Postgres",60000.0,0,60000.0,0,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,34.0,0
290,27.0,Male,Munich,Software Engineer,5,1,Senior,Typescript / Angular,No Response,71000.0,5000,66000.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
291,27.0,Male,Munich,Software Engineer,5,1,Senior,Javascript,"Javascript / Typescript, Go",65000.0,0,65000.0,65000,22,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
292,22.0,Male,Warsaw,Backend Developer,3,0,Middle,PHP,No Response,27000.0,0,No Response,No Response,21,Full-time,Unlimited contract,Polish,51-100,Business Services,No,0.0,0
293,30.0,Male,Berlin,DevOps,9,5,Lead,Kubernetes,"Python, Google Cloud, Kubernetes, Docker",90000.0,0,80000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
294,30.0,Male,Hamburg,Software Engineer,6,0,Middle,.NET,"Javascript / Typescript, .NET, SQL, Docker",60000.0,6000,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
295,29.0,Male,Munich,SW Architect,8,3,Senior,C++,"Python, C/C++, Docker",73000.0,400,59000.0,60000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
296,37.0,Male,Heidelberg,Software Engineer,15,7,Senior,ABAP,"Javascript / Typescript, SAP / ABAP",67500.0,7500,65000.0,5000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
297,28.0,Male,Berlin,SRE,6,1.5,Middle,Kubernetes,"Python, Go, AWS, Kubernetes, Docker",66000.0,122.13,66000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
298,28.0,Female,Berlin,Software Engineer,8,0,Lead,Javascript,No Response,80000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,500
299,28.0,Male,Stuttgart,Backend Developer,5,1.5,Middle,Java,Linux,55000.0,5000,42000.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
300,33.0,Male,Berlin,Software Engineer,13,3,Senior,Ruby,"Ruby, Java / Scala, Go, AWS, Kubernetes, Docker",75000.0,20000,68000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,600
301,40.0,Male,Frankfurt,Software Engineer,22,3,Senior,Java,"Kotlin, Javascript / Typescript, Java / Scala, Kubernetes, Docker",72000.0,5000,45000.0,45000,30,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,0
302,28.0,Male,Munich,"Fullstack engineer, ну или Software engineer",9,1,Senior,React/Typescript,MongoDB,60000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,up to 10,Entrepreneurship,No,20.0,0
303,29.0,Male,Berlin,Backend Developer,11,2,Senior,Python,"Python, Go, AWS, Kubernetes, Docker",85000.0,4000,85000.0,4000,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
304,24.0,Male,Aachen,HiWi,3,2,Junior,Python,"Python, C/C++",10164.0,0,No Response,No Response,14,Part-time,Temporary contract,English,11-50,Education and Research,No,0.0,0
305,30.0,Male,Berlin,Backend Developer,4,2,Senior,Golang ,"Javascript / Typescript, .NET, SQL, Go, Kubernetes, Docker",65000.0,0,No Response,No Response,0,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
306,31.0,Male,Munich,Software Engineer,11,1,Middle,Python,Docker,75000.0,0,No Response,No Response,365,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
307,44.0,Male,Munich,Software Engineer,28,6,Senior,C#,"C/C++, .NET, SQL",78500.0,0,78500.0,2000,30,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
308,32.0,Male,Berlin,Software Engineer,12,1,Senior,Java,"Python, SQL, AWS, Kubernetes, Docker",83000.0,500,75000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,40
309,33.0,Male,Berlin,Software Engineer,10,1,Middle,iOS,Swift,65000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,500
310,46.0,Male,Munich,Software Engineer,10,2,Senior,Python ,"Javascript / Typescript, AWS",68500.0,0,60000.0,No Response,28,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
311,27.0,Male,Berlin,Frontend Developer,8,1,Middle,Angular,Javascript / Typescript,45000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,30.0,0
312,32.0,Male,Berlin,Backend Developer,5,3,Middle,Ruby,"Javascript / Typescript, AWS, Docker",72000.0,0,60000.0,No Response,30,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
313,34.0,Male,Berlin,Software Engineer,15,2,Lead,Java,"Java / Scala, SQL",80000.0,12000,76000.0,11000,28,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,750
314,26.0,Male,Riga,Software Engineer,4,0,Middle,javascript,"Javascript / Typescript, SAP / ABAP",24000.0,0,20000.0,0,20,Full-time,Unlimited contract,English,101-1000,Business Services,No,0.0,0
315,41.0,Male,Berlin,Software Engineer,19,7,Lead,Python,"C/C++, SQL, AWS, Kubernetes, Docker",95500.0,14500,94000.0,7500,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
316,35.0,Male,Cologne,Software Engineer,14,7,Senior,C++,"Python, C/C++, SQL",72000.0,77000,70000.0,70000,35,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
317,26.0,Male,Hamburg,Software Engineer,7,3.5,Senior,TypeScript,"Python, Javascript / Typescript, AWS, Docker",72000.0,0,No Response,No Response,27,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
318,27.0,Male,Berlin,Mobile Developer,3,0,Middle,Kotlin,"Kotlin, Java / Scala",65000.0,0,No Response,No Response,0,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
319,24.0,Male,Munich,Software Engineer,3,2,Middle,Java/C++,"Python, C/C++, Javascript / Typescript, Java / Scala, SQL, Kubernetes",77600.0,43500,72000.0,18800,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,40.0,1000
320,35.0,Male,Hamburg,Software Engineer,13,3,Lead,Scala / Python,"Python, Ruby, Java / Scala, Google Cloud, Kubernetes, Docker",95000.0,15000,90000.0,0,25,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
321,31.0,Male,Dusseldorf,Software Engineer,7,3,Senior,C++,"Python, C/C++, Javascript / Typescript, SQL",50400.0,50400,50000.0,50000,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
322,30.0,Male,Moscow,Software Engineer,5,0,Middle,C,C/C++,14712.0,0,14712.0,0,30,Full-time,Unlimited contract,Russian,101-1000,Utilities and Manufacturing,No,40.0,0
323,35.0,Male,Berlin,QA Engineer,11,10,Senior,Java,"Python, Javascript / Typescript, .NET, Java / Scala, Kubernetes, Docker",74400.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,32.0,0
324,37.0,Male,Hamburg,Software Engineer,15,5,Senior,Java,"Python, Javascript / Typescript, Java / Scala, Go, AWS, Kubernetes, Docker",70000.0,0,60000.0,0,25,Full-time,Temporary contract,English,11-50,Entrepreneurship,No,0.0,0
325,36.0,Male,Hamburg,Backend Developer,10,5,Senior,Java/Scala,"Python, Go, AWS, Docker",82000.0,0,78000.0,No Response,30,Full-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,0.0,500
326,32.0,Female,Cologne,Data Scientist,4,4,Senior,Python,No Response,85000.0,88000,76000.0,78000,30,Full-time,Unlimited contract,English,1000+,Retail,No,0.0,0
327,23.0,Male,Berlin,Software Engineer,4,1,Middle,Javascript,"Javascript / Typescript, SQL, AWS, Docker",70500.0,0,58000.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
328,39.0,Male,Stuttgart,Software Engineer,11,3,Lead,PHP,"PHP, SQL, Kubernetes, Docker",75000.0,0,75000.0,0,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
329,27.0,Female,Berlin,Data Scientist,3,3,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,1000,55000.0,0,24,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
330,50.0,Male,Berlin,Software Engineer,29,2,Lead,C++,"C/C++, PHP, SQL",28800.0,28800,28800.0,28800,30,Full-time,Unlimited contract,German,11-50,"Tech, Media and Telecom",No,0.0,0
331,35.0,Male,Helsinki,Backend Developer,11,2.5,Senior,python,"SQL, AWS, Docker",66000.0,2000,53000.0,56000,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,37.5,500
332,29.0,Male,Berlin,Backend Developer,10,1,Senior,Ruby,Go,80000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
333,30.0,Male,Munich,Mobile Developer,8,2,Lead,Swift,Swift,75000.0,86000,60000.0,65000,24,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,0.0,0
334,24.0,Male,Frankfurt,Frontend Developer,3,0,Middle,JavaScript,"Javascript / Typescript, Docker",44000.0,3000,44000.0,0,26,Full-time,Unlimited contract,English,51-100,Utilities and Manufacturing,No,0.0,0
335,28.0,Male,Würzburg,Software Engineer,8,0,Senior,Java,"Kotlin, Javascript / Typescript",75000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
336,28.0,Male,Berlin,Backend Developer,9,2,Senior,PHP,"SQL, AWS, Docker",60000.0,1000,45000.0,45000,25,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
337,37.0,Male,Berlin,Software Engineer,8,5,Senior,Python ,"Python, Javascript / Typescript, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",76900.0,77400,70000.0,74800,26,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
338,30.0,Male,Kyiv,Backend Developer,8,0,Middle,Web developer,"PHP, Javascript / Typescript, SQL, Docker",27000.0,0,27000.0,0,21,Full-time,Temporary contract,Russian,51-100,Utilities and Manufacturing,No,40.0,0
339,30.0,Male,Munich,Frontend Developer,4,1,Middle,JavaScript/Typescript,"PHP, SQL",55000.0,0,No Response,No Response,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
340,31.0,Male,Berlin,Software Engineer,4,2,Lead,Java,"Kotlin, SQL, AWS, Kubernetes, Docker",95000.0,0,89000.0,0,28,Full-time,Unlimited contract,English,1000+,Entrepreneurship,No,0.0,0
341,28.0,Female,Berlin,Software Engineer,3,3,Middle,Javascript,"PHP, Javascript / Typescript",60000.0,0,55000.0,0,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
342,31.0,Female,Munich,Software Engineer,2,2,Middle,Java,SQL,58000.0,3000,26000.0,1500,28,Full-time,Unlimited contract,German,1000+,Utilities and Manufacturing,No,0.0,No
343,34.0,Male,Berlin,Mobile Developer,9,2,Senior,Android,"Kotlin, Java / Scala",72000.0,12,65000.0,0,27,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,600
344,24.0,Male,Berlin,Backend Developer,4,3,Middle,PHP,"SQL, Kubernetes, Docker",46000.0,0,42000.0,No Response,28,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
345,39.0,Male,Berlin,DevOps,15,3,Senior,Python,"Python, Ruby, Java / Scala, Go, Rust, AWS, Kubernetes, Docker, Terraform, helm, packer",70000.0,0,70000.0,0,21,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
346,42.0,Male,Den Haag,Backend Developer,20,6,Senior,.NET,"Python, Javascript / Typescript, SQL, AWS, Docker",75000.0,0,75000.0,0,25,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,40.0,300
347,26.0,Male,London,Frontend Developer,8,0,Senior,"TypeScript, React","Javascript / Typescript, Google Cloud, Kubernetes, Docker",105000.0,60000,85000.0,60000,30,Full-time,Unlimited contract,English,1000+,Entrepreneurship,No,0.0,0
348,32.0,Female,Berlin,Mobile Developer,7,3,Senior,Kotlin,"Python, Ruby",63000.0,0,55000.0,0,26,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,1100
349,23.0,Male,Berlin,Mobile Developer,3,0,Lead,Swift,Swift,65000.0,65000,No Response,No Response,25,Full-time,Unlimited contract,English,51-100,Entrepreneurship,No,0.0,0
350,27.0,Male,Amsterdam,ML Engineer,4,1,Middle,python,"Python, R, SQL, SAP / ABAP, AWS, Kubernetes, Docker",62000.0,62000,40000.0,40000,25,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
351,27.0,Male,Berlin,Tech Lead / Full-Stack,5,3.5,Lead,Python / JavaScript (React),"Python, Javascript / Typescript, SQL, AWS, Docker, React, Tailwindcss",90000.0,1000,75000.0,1000,30,Full-time,Unlimited contract,English,11-50,Entrepreneurship,No,36.0,0
352,29.0,Male,Berlin,Frontend Developer,8,4,Senior,JavaScript / typescript,No Response,69000.0,74000,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,30.0,0
353,32.0,Male,Munich,Software Engineer,10,6,Senior,Java,"Javascript / Typescript, Go",88000.0,120000,86000.0,115000,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
354,31.0,Male,Berlin,DevOps,11,4,Senior,Terraform,"PHP, SQL, AWS, Docker",81000.0,0,75000.0,0,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,30.0,0
355,26.0,Male,Berlin,Marketing Analyst,7,2,Middle,SQL,"Python, Javascript / Typescript, Google Cloud",60000.0,5000,No Response,48000,27,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
356,29.0,Male,Berlin,Software Engineer,5,1.5,Middle,PHP,"Javascript / Typescript, SQL, Docker",56000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,500
357,30.0,Male,Hamburg,Frontend Developer,7,1,Senior,JavaScript,Javascript / Typescript,55000.0,0,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,20.0,0
358,38.0,Male,Berlin,Mobile Developer,10,4,Senior,Swift,"Swift, Objective-C",70000.0,0,70000.0,5000,24,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,Yes,0.0,0
359,32.0,Male,Berlin,C-Level Executive,10,4,C-Level Executive,JAVA,"Python, C/C++",200000.0,200000,No Response,No Response,28,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,Yes,0.0,0
360,25.0,Male,Berlin,Solutions Architect,6,2,Middle,Apache Spark,"Python, Java / Scala",100000.0,20000,73000.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,400
361,24.0,Male,Berlin,Backend Developer,3,0,Junior,C#,"Javascript / Typescript, .NET, Kubernetes, Docker",48000.0,0,No Response,No Response,28,Full-time,Temporary contract,English,1000+,"Tech, Media and Telecom",No,0.0,0
362,24.0,Male,Tallinn,Software Engineer,3,0,Junior,Java,"Python, SQL",30000.0,0,28800.0,0,28,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
363,27.0,Male,Prague,Software Engineer,3,0,Middle,.NET,"Javascript / Typescript, Java / Scala, SQL",21120.0,3520,16560.0,2760,21,Full-time,Temporary contract,Czech,11-50,Utilities and Manufacturing,No,0.0,0
364,34.0,Female,Berlin,QA Engineer,6,2,Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker",67500.0,0,61400.0,0,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
365,30.0,Male,Utrecht,Data Scientist,2,0,Middle,python,Google Cloud,48000.0,10000,41000.0,6000,25,Full-time,Temporary contract,English,1000+,Utilities and Manufacturing,No,0.0,0
366,27.0,Female,Munich,Frontend Developer,2,2,Middle,JavaScript,Javascript / Typescript,64000.0,0,50000.0,0,28,Full-time,Unlimited contract,English,101-1000,Entrepreneurship,No,0.0,0
367,46.0,Male,Frankfurt,Software Engineer,23,16,Senior,C#,"C/C++, Javascript / Typescript, .NET, SQL, Azure",90000.0,96000,76000.0,82000,30,Full-time,Unlimited contract,German,1000+,Business Services,No,40.0,0
368,42.0,Female,Munich,Software tester ,12,12,No level,Java,No Response,47500.0,47500,39000.0,39000,28,Part-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,10.0,0
369,40.0,Female,Berlin,Fullstack Developer,8,8,Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+",57000.0,1500,54000.0,100,26,Full-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,0.0,0
370,23.0,Male,Stockholm,Frontend Developer,5,1.5,Senior,Javascript,Javascript / Typescript,45600.0,45600,No Response,No Response,30,Full-time,Unlimited contract,English,up to 10,Business Services,No,0.0,0
371,30.0,Male,Moscow,Backend Developer,2,0,Junior,Elixir,No Response,50000.0,55000,18000.0,18000,30,Self-employed,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
372,40.0,Male,Braunschweig,SAP BW Senior Consultant ,11,11,Senior,SAP BW / ABAP,SAP / ABAP,75000.0,5000,72000.0,4800,30,Full-time,Unlimited contract,German,1000+,Finance,No,0.0,0
373,38.0,Male,Dresden,Software Engineer,10,10,Lead,"Go, PHP, SQL","PHP, SQL, Go, AWS, Docker",62000.0,0,No Response,No Response,30,Full-time,Unlimited contract,German,51-100,Utilities and Manufacturing,No,0.0,0
374,28.0,Male,Kyiv,Mobile Developer,5,0,Senior,Swift,"Swift, Google Cloud",45000.0,0,30000.0,No Response,20,Full-time,Unlimited contract,English,11-50,Utilities and Manufacturing,No,0.0,0
375,38.0,Male,Berlin,Software Engineer,16,2,Senior,ABAP,"PHP, SQL, SAP / ABAP, Delphi",83000.0,11000,80000.0,80000,27,Full-time,Unlimited contract,English,1000+,Entrepreneurship,No,0.0,700
