,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
186,25.0,Male,Stuttgart,Backend Developer,4,2,Middle,Java,"Javascript / Typescript, .NET",60000.0,0,50000.0,No Response,30,Full-time,Unlimited contract,German,101-1000,Business Services,No,0.0,0
187,29.0,Male,Berlin,Mobile Developer,8,4,Senior,Kotlin,"Kotlin, Javascript / Typescript, Dart",65000.0,0,52000.0,No Response,26,Full-time,Unlimited contract,English,101-1000,Utilities and Manufacturing,No,0.0,0
188,32.0,Male,Berlin,DevOps Manager,10,3,Lead,DevOps,"Python, AWS, Azure, Kubernetes, Docker",100000.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
189,32.0,Male,Dusseldorf,Software Engineer,11,7,Senior,.net,"Javascript / Typescript, Java / Scala, Go",60000.0,62000,47000.0,49000,30,Full-time,Unlimited contract,English,1000+,Business Services,No,0.0,0
190,24.0,Male,Munich,Software Engineer,3,2,Middle,Node.js,"Swift, Javascript / Typescript, Go, AWS, Kubernetes, Docker",58000.0,18000,No Response,No Response,28,Full-time,Unlimited contract,English,1000+,Business Services,No,0.0,0
191,24.0,Female,Stuttgart,Software Engineer,2,1,Middle,iOS,"Swift, Flutter",55200.0,2000,No Response,No Response,30,Full-time,Unlimited contract,English,11-50,Business Services,No,20.0,0
192,56.0,Male,Ingolstadt,Software Engineer,9,9,Senior,R,"R, SQL",75000.0,0,No Response,No Response,30,Full-time,Temporary contract,German,1000+,Utilities and Manufacturing,No,0.0,0
193,53.0,Male,Stuttgart,Frontend Developer,15,15,Senior,"Java, Javascript",Javascript / Typescript,50000.0,0,No Response,No Response,0,Full-time,Unlimited contract,German,101-1000,Utilities and Manufacturing,No,0.0,0
194,25.0,Male,Munich,ML Engineer,1,1,Middle,Python,"Python, C/C++, Swift, Matlab ",65000.0,2000,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Utilities and Manufacturing,No,0.0,0
195,28.0,Male,Stuttgart,Software Engineer,8,1,Senior,C++,Python,67200.0,0,No Response,No Response,30,Full-time,Unlimited contract,English,1000+,Business Services,No,0.0,0
